date,Export Quantity,Import Quantity,Area harvested,Production,Yield
2016-08-01,191.28833333333333,271574.9625,196555.0,2738764.105833333,13932.6
2016-09-01,184.78666666666666,275420.76,196067.0,2729218.7266666666,13918.7
2016-10-01,178.285,279266.5575,195579.0,2719673.3475,13904.8
2016-11-01,171.78333333333333,283112.355,195091.0,2710127.9683333333,13890.9
2016-12-01,165.28166666666667,286958.1525,194603.0,2700582.5891666664,13877.0
2017-01-01,158.78,290803.95,194115.0,2691037.21,13863.1
2017-02-01,191.37416666666667,289271.06833333336,194211.08333333334,2724117.4425,14025.691666666668
2017-03-01,223.96833333333333,287738.18666666665,194307.16666666666,2757197.675,14188.283333333333
2017-04-01,256.5625,286205.305,194403.25,2790277.9074999997,14350.875
2017-05-01,289.15666666666664,284672.42333333334,194499.33333333334,2823358.14,14513.466666666667
2017-06-01,321.75083333333333,283139.5416666667,194595.41666666666,2856438.3725,14676.058333333334
2017-07-01,354.345,281606.66000000003,194691.5,2889518.605,14838.650000000001
2017-08-01,386.93916666666667,280073.7783333333,194787.58333333334,2922598.8375,15001.241666666667
2017-09-01,419.5333333333333,278540.89666666667,194883.66666666666,2955679.07,15163.833333333334
2017-10-01,452.12749999999994,277008.015,194979.75,2988759.3025,15326.425000000001
2017-11-01,484.7216666666667,275475.1333333333,195075.83333333334,3021839.535,15489.016666666666
2017-12-01,517.3158333333333,273942.25166666665,195171.91666666666,3054919.7675,15651.608333333334
2018-01-01,549.91,272409.37,195268.0,3088000.0,15814.2
2018-02-01,506.42999999999995,271509.8433333333,195162.08333333334,3090078.9166666665,15833.550000000001
2018-03-01,462.95,270610.31666666665,195056.16666666666,3092157.8333333335,15852.900000000001
2018-04-01,419.46999999999997,269710.79,194950.25,3094236.75,15872.25
2018-05-01,375.99,268811.2633333333,194844.33333333334,3096315.6666666665,15891.6
2018-06-01,332.51,267911.73666666663,194738.41666666666,3098394.5833333335,15910.95
2018-07-01,289.03,267012.20999999996,194632.5,3100473.5,15930.3
2018-08-01,245.55,266112.68333333335,194526.58333333334,3102552.4166666665,15949.65
2018-09-01,202.07,265213.1566666667,194420.66666666666,3104631.3333333335,15969.0
2018-10-01,158.58999999999997,264313.63,194314.75,3106710.25,15988.35
2018-11-01,115.11000000000001,263414.10333333333,194208.83333333334,3108789.1666666665,16007.7
2018-12-01,71.63,262514.57666666666,194102.91666666666,3110868.0833333335,16027.05
2019-01-01,28.15,261615.05,193997.0,3112947.0,16046.4
2019-02-01,27.0125,262855.11833333335,193505.41666666666,3114520.5833333335,16096.699999999999
2019-03-01,25.875,264095.18666666665,193013.83333333334,3116094.1666666665,16147.0
2019-04-01,24.737499999999997,265335.255,192522.25,3117667.75,16197.3
2019-05-01,23.599999999999998,266575.3233333333,192030.66666666666,3119241.3333333335,16247.6
2019-06-01,22.4625,267815.39166666666,191539.08333333334,3120814.9166666665,16297.9
2019-07-01,21.325,269055.45999999996,191047.5,3122388.5,16348.2
2019-08-01,20.1875,270295.5283333333,190555.91666666666,3123962.0833333335,16398.5
2019-09-01,19.049999999999997,271535.5966666667,190064.33333333334,3125535.6666666665,16448.8
2019-10-01,17.9125,272775.665,189572.75,3127109.25,16499.1
2019-11-01,16.775,274015.73333333334,189081.16666666666,3128682.8333333335,16549.4
2019-12-01,15.6375,275255.80166666664,188589.58333333334,3130256.4166666665,16599.7
2020-01-01,14.5,276495.87,188098.0,3131830.0,16650.0
2020-02-01,13.362499999999999,281125.7683333333,188988.83333333334,3147946.75,16656.458333333332
2020-03-01,12.225,285755.6666666667,189879.66666666666,3164063.5,16662.916666666668
2020-04-01,11.087499999999999,290385.565,190770.5,3180180.25,16669.375
2020-05-01,9.95,295015.4633333333,191661.33333333334,3196297.0,16675.833333333332
2020-06-01,8.8125,299645.3616666667,192552.16666666666,3212413.75,16682.291666666668
2020-07-01,7.675000000000001,304275.26,193443.0,3228530.5,16688.75
2020-08-01,6.537499999999998,308905.1583333333,194333.83333333334,3244647.25,16695.208333333332
2020-09-01,5.399999999999999,313535.0566666667,195224.66666666666,3260764.0,16701.666666666668
2020-10-01,4.262499999999999,318164.955,196115.5,3276880.75,16708.125
2020-11-01,3.125,322794.85333333333,197006.33333333334,3292997.5,16714.583333333332
2020-12-01,1.9875000000000007,327424.7516666667,197897.16666666666,3309114.25,16721.041666666668
2021-01-01,0.85,332054.65,198788.0,3325231.0,16727.5
2021-02-01,3.0933333333333333,329614.8725,198743.41666666666,3332364.1666666665,16767.24166666667
2021-03-01,5.336666666666666,327175.09500000003,198698.83333333334,3339497.3333333335,16806.983333333334
2021-04-01,7.579999999999999,324735.3175,198654.25,3346630.5,16846.725
2021-05-01,9.823333333333332,322295.54000000004,198609.66666666666,3353763.6666666665,16886.466666666667
